llmstream: 24 layers, 16 slots/layer, 6 tensors/expert, 13.25 MB/expert, prefetch=on
llmstream: prefill pool 32 slots x 6 type-variants (424 MB), shared across layers
ttft: total=35629 ms | template=0 tokenize=4 kv_match=0 prefill=35623 first_sample=2
ttft: ctx_held=0 rendered=997 reused=0 reprefill=997 (100.0% of rendered)
tok 200005 |<|channel|>|
tok  35644 |analysis|
tok 200008 |<|message|>|
tok    976 |The|
tok   1825 | user|
tok  31064 | asks|
tok     25 |:|
tok    392 | "|
tok  34405 |Which|
tok    997 | part|
tok   8844 | uses|
tok    290 | the|
tok   1645 | most|
tok   5954 | energy|
tok  16842 |?"|
tok   3164 | They|
tok   6716 | refer|
tok    316 | to|
tok  55063 | refrigerator|
tok   7881 | parts|
tok     13 |.|
tok   3164 | They|
tok   1682 | want|
tok    316 | to|
tok   1761 | know|
tok   1118 | which|
tok    997 | part|
tok   8844 | uses|
tok   1645 | most|
tok   5954 | energy|
tok     13 |.|
tok   1416 | We|
tok   1309 | need|
tok    316 | to|
tok   6052 | answer|
tok     25 |:|
tok  78102 | compressor|
tok   8844 | uses|
tok   1645 | most|
tok   5954 | energy|
tok     11 |,|
tok    889 | but|
tok   1217 | also|
tok 192921 | condenser|
tok    326 | and|
tok  84074 | evapor|
tok   1246 |ator|
tok     13 |.|
tok    623 | The|
tok  78102 | compressor|
tok    382 | is|
tok    290 | the|
tok   2758 | main|
tok   5954 | energy|
tok  15318 | consumer|
tok     13 |.|
tok    623 | The|
tok 192921 | condenser|
tok    326 | and|
tok  84074 | evapor|
tok   1246 |ator|
tok    553 | are|
tok  45487 | passive|
tok     13 |.|
tok    623 | The|
tok  78102 | compressor|
tok   2226 | does|
tok   1101 | work|
tok    316 | to|
tok  34112 | compress|
tok  30606 | refriger|
tok    493 |ant|
tok     13 |.|
tok    623 | The|
tok  78102 | compressor|
tok    382 | is|
tok    290 | the|
tok   2758 | main|
tok   5954 | energy|
tok  15318 | consumer|
tok     13 |.|
tok    623 | The|
tok 192921 | condenser|
tok    326 | and|
tok  84074 | evapor|
tok   1246 |ator|
tok    553 | are|
tok  10609 | heat|
tok  76908 | exch|
tok  17646 |angers|
tok     13 |.|
tok    623 | The|
tok  78102 | compressor|
tok   8844 | uses|
tok   1645 | most|
tok   5954 | energy|
tok     13 |.|
tok    623 | The|
tok  78102 | compressor|
tok    382 | is|
tok    290 | the|
tok   9771 | motor|
tok     13 |.|
tok    623 | The|
tok  78102 | compressor|
tok   8844 | uses|
tok    290 | the|
tok   1645 | most|
tok   5954 | energy|
tok     13 |.|
tok    623 | The|
tok 192921 | condenser|
tok   8844 | uses|
tok   1236 | some|
tok   5954 | energy|
tok    316 | to|
tok 105792 | dissip|
tok    379 |ate|
tok  10609 | heat|
tok    889 | but|
tok    625 | not|
tok    472 | as|
tok   2009 | much|
tok     13 |.|
tok    623 | The|
tok  84074 | evapor|
tok   1246 |ator|
tok   8844 | uses|
tok    860 | no|
tok   5954 | energy|
tok     13 |.|
tok    623 | The|
tok  24603 | expansion|
tok  39077 | valve|
tok   8844 | uses|
tok 175463 | negligible|
tok   5954 | energy|
tok     13 |.|
tok   2632 | So|
tok   6052 | answer|
tok     25 |:|
tok  78102 | compressor|
tok   8844 | uses|
tok   1645 | most|
tok   5954 | energy|
tok     13 |.|
tok  51441 | Provide|
tok  30547 | explanation|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
